# bench summary (D-0055): n / median / IQR / min / max; warmup excluded
qemu_version=QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2)
qemu_hash=89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274
git_sha=35861f30861844e50b4d50a87e67cc96844a14ef dirty=0
host_kernel=7.0.0-29-generic
cpu_model=AMD Ryzen 7 7800X3D 8-Core Processor
governor=performance smt_control=off cpufreq_boost=0 virt=none steal_start_ticks=0 loadavg_1m=0.66
client_granularity_ns=1000092
shuffle_seed=1786939992244069771
stamp_overhead_ns=5500 (floor max(that, 100 ns); not a stability metric)

## whimbrel release-default batch=20260817T041311Z-1 n_recorded=30
metric                                  n         median            IQR            min            max
e0_to_e3w_ns                           30       39307510         307631       38432179       40760600
e0_to_e4_ns                            30      140674370        1227605      139352088      143527105
e0_to_first_connect_ns                 30       18569954         288941       17882179       18990174
e2_to_e3g_ns                           30       94833750        1298200       93903100       97761800
phase_DRIVER_OK_delta_ns               30        6274300          70350        6123400        6497900
phase_DRIVER_OK_since_e2_ns            30       69003400        1030325       68318800       70790000
phase_E3g_delta_ns                     30        1952750          21850        1914000        2121300
phase_E3g_doorbell_delta_ns            30         388400           6025         377900         406700
phase_E3g_doorbell_since_e2_ns         30       95221650        1304875       94291200       98139700
phase_E3g_since_e2_ns                  30       94833750        1298200       93903100       97761800
phase__start_delta_ns                  30              0              0              0              0
phase__start_since_e2_ns               30              0              0              0              0
phase_accounting_delta_ns              30        6933850          62925        6850700        7583000
phase_accounting_since_e2_ns           30       87797000        1193025       86703500       89949600
phase_activate_delta_ns                30         299400           7600         289400         308900
phase_activate_since_e2_ns             30       55785150        1072175       55113900       57458100
phase_established_delta_ns             30         779150          12500         761400        3496300
phase_established_since_e2_ns          30       74678300        1201125       73698500       76858500
phase_first_rx_delta_ns                30        3375900          42750        3321900        4809300
phase_first_rx_since_e2_ns             30       72466150        1076700       71663900       74175300
phase_frame_init_delta_ns              30       36807950        1107700       36345600       38368700
phase_frame_init_since_e2_ns           30       37875050        1109650       37417100       39443400
phase_freeze_delta_ns                  30        4884950          71375        4797400        5664800
phase_freeze_since_e2_ns               30       92658750        1339150       91580200       95583600
phase_heap_init_delta_ns               30          26300            400          25700          29200
phase_heap_init_since_e2_ns            30       80862550        1134500       79743000       83020900
phase_net_init_done_delta_ns           30        5148900          82050        5048800        5923500
phase_net_init_done_since_e2_ns        30       80836250        1134200       79716900       82993700
phase_page_build_delta_ns              30        1252750          34925        1209800        1290000
phase_page_build_since_e2_ns           30       42240150        1080725       41722100       43809900
phase_page_verify_delta_ns             30       13199200         122975       13061000       13423600
phase_page_verify_since_e2_ns          30       55485000        1068250       54817500       57162500
phase_serving_ready_delta_ns           30         897550          11975         878700         915500
phase_serving_ready_since_e2_ns        30       75571100        1204275       74589900       77774000
phase_sret_delta_ns                    30         227350           4925         221900         256000
phase_sret_since_e2_ns                 30       92884800        1343375       91802900       95807100
phase_stamp_a_delta_ns                 30          45600            500          45300          51700
phase_stamp_a_since_e2_ns              30          45600            500          45300          51700
phase_stamp_b_delta_ns                 30           5400            100           5200           5900
phase_stamp_b_since_e2_ns              30          51050            575          50700          57100
phase_stvec_delta_ns                   30        1018050           6450        1001000        1028800
phase_stvec_since_e2_ns                30        1069300           6850        1051700        1085900
phase_syn_rx_delta_ns                  30        1235350          19500        1210100        1277800
phase_syn_rx_since_e2_ns               30       73686050        1077475       72925200       75413600
phase_task_init_delta_ns               30        3105100          30125        3055200        3149600
phase_task_init_since_e2_ns            30       40982200        1085650       40498100       42593000
phase_virtq_init_delta_ns              30        6985900          79750        6794300        7090200
phase_virtq_init_since_e2_ns           30       62761450        1065000       61914100       64501700

## whimbrel release-fast-boot batch=20260817T041311Z-1 n_recorded=30
metric                                  n         median            IQR            min            max
e0_to_e3w_ns                           30       25866645         431120       25160953       26483252
e0_to_e4_ns                            30       67203890         555064       66617164       68130046
e0_to_first_connect_ns                 30       18646328         312469       17984181       19079252
e2_to_e3g_ns                           30       21504350         551250       21269900       22335100
phase_DRIVER_OK_delta_ns               30         554850           9075         533700         567400
phase_DRIVER_OK_since_e2_ns            30       13652550         192950       13535600       13953600
phase_E3g_delta_ns                     30        1422550         178925        1225200        1474300
phase_E3g_doorbell_delta_ns            30          86600           3800          81700          93000
phase_E3g_doorbell_since_e2_ns         30       21591800         553875       21353400       22422900
phase_E3g_since_e2_ns                  30       21504350         551250       21269900       22335100
phase__start_delta_ns                  30              0              0              0              0
phase__start_since_e2_ns               30              0              0              0              0
phase_accounting_delta_ns              30        4800700         555975        4743400        5650600
phase_accounting_since_e2_ns           30       20040050         735000       19823900       21061700
phase_activate_delta_ns                30         101000           2625          98800         109200
phase_activate_since_e2_ns             30       12245150         177325       12135800       12538200
phase_established_delta_ns             30         272800           7150         266900         281400
phase_established_since_e2_ns          30       14516050         208225       14406400       14835100
phase_first_rx_delta_ns                30         314300           7250         307700         321600
phase_first_rx_since_e2_ns             30       13962700         199300       13852200       14270200
