batch_id,trial,warmup,system,config,phase,ticks,ns_since_e2,delta_ticks,delta_ns,source
20260818T013740Z-1,1,1,whimbrel,release-default,_start,233656,0,0,0,serial
20260818T013740Z-1,1,1,whimbrel,release-default,stamp_a,234106,45000,450,45000,serial
20260818T013740Z-1,1,1,whimbrel,release-default,stamp_b,234161,50500,55,5500,serial
20260818T013740Z-1,1,1,whimbrel,release-default,stvec,244381,1072500,10220,1022000,serial
20260818T013740Z-1,1,1,whimbrel,release-default,frame_init,549770,31611400,305389,30538900,serial
20260818T013740Z-1,1,1,whimbrel,release-default,task_init,581981,34832500,32211,3221100,serial
20260818T013740Z-1,1,1,whimbrel,release-default,page_build,588963,35530700,6982,698200,serial
20260818T013740Z-1,1,1,whimbrel,release-default,page_verify,706925,47326900,117962,11796200,serial
20260818T013740Z-1,1,1,whimbrel,release-default,activate,709773,47611700,2848,284800,serial
20260818T013740Z-1,1,1,whimbrel,release-default,virtq_init,779634,54597800,69861,6986100,serial
20260818T013740Z-1,1,1,whimbrel,release-default,DRIVER_OK,842030,60837400,62396,6239600,serial
20260818T013740Z-1,1,1,whimbrel,release-default,first_rx,876011,64235500,33981,3398100,serial
20260818T013740Z-1,1,1,whimbrel,release-default,syn_rx,888386,65473000,12375,1237500,serial
20260818T013740Z-1,1,1,whimbrel,release-default,established,896113,66245700,7727,772700,serial
20260818T013740Z-1,1,1,whimbrel,release-default,serving_ready,905097,67144100,8984,898400,serial
20260818T013740Z-1,1,1,whimbrel,release-default,net_init_done,956868,72321200,51771,5177100,serial
20260818T013740Z-1,1,1,whimbrel,release-default,heap_init,957088,72343200,220,22000,serial
20260818T013740Z-1,1,1,whimbrel,release-default,accounting,978724,74506800,21636,2163600,serial
20260818T013740Z-1,1,1,whimbrel,release-default,freeze,979746,74609000,1022,102200,serial
20260818T013740Z-1,1,1,whimbrel,release-default,sret,981980,74832400,2234,223400,serial
20260818T013740Z-1,1,1,whimbrel,release-default,E3g,1001279,76762300,19299,1929900,serial
20260818T013740Z-1,1,1,whimbrel,release-default,E3g_doorbell,1005140,77148400,3861,386100,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,_start,233743,0,0,0,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,stamp_a,234202,45900,459,45900,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,stamp_b,234257,51400,55,5500,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,stvec,236802,305900,2545,254500,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,frame_init,238215,447200,1413,141300,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,task_init,244088,1034500,5873,587300,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,page_build,247992,1424900,3904,390400,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,page_verify,255262,2151900,7270,727000,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,activate,256137,2239400,875,87500,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,virtq_init,264533,3079000,8396,839600,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,DRIVER_OK,269896,3615300,5363,536300,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,first_rx,273004,3926100,3108,310800,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,syn_rx,275723,4198000,2719,271900,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,established,278371,4462800,2648,264800,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,serving_ready,281989,4824600,3618,361800,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,net_init_done,284886,5114300,2897,289700,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,heap_init,285110,5136700,224,22400,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,accounting,285369,5162600,259,25900,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,freeze,285494,5175100,125,12500,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,sret,285684,5194100,190,19000,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,E3g,298133,6439000,12449,1244900,serial
20260818T013740Z-1,1,1,whimbrel,release-fast-boot,E3g_doorbell,298904,6516100,771,77100,serial
20260818T013740Z-1,2,1,whimbrel,release-default,_start,234214,0,0,0,serial
20260818T013740Z-1,2,1,whimbrel,release-default,stamp_a,234667,45300,453,45300,serial
20260818T013740Z-1,2,1,whimbrel,release-default,stamp_b,234722,50800,55,5500,serial
20260818T013740Z-1,2,1,whimbrel,release-default,stvec,245058,1084400,10336,1033600,serial
20260818T013740Z-1,2,1,whimbrel,release-default,frame_init,549064,31485000,304006,30400600,serial
20260818T013740Z-1,2,1,whimbrel,release-default,task_init,581821,34760700,32757,3275700,serial
20260818T013740Z-1,2,1,whimbrel,release-default,page_build,588878,35466400,7057,705700,serial
20260818T013740Z-1,2,1,whimbrel,release-default,page_verify,707496,47328200,118618,11861800,serial
20260818T013740Z-1,2,1,whimbrel,release-default,activate,710273,47605900,2777,277700,serial
20260818T013740Z-1,2,1,whimbrel,release-default,virtq_init,779782,54556800,69509,6950900,serial
20260818T013740Z-1,2,1,whimbrel,release-default,DRIVER_OK,842146,60793200,62364,6236400,serial
20260818T013740Z-1,2,1,whimbrel,release-default,first_rx,876103,64188900,33957,3395700,serial
20260818T013740Z-1,2,1,whimbrel,release-default,syn_rx,888481,65426700,12378,1237800,serial
20260818T013740Z-1,2,1,whimbrel,release-default,established,896182,66196800,7701,770100,serial
20260818T013740Z-1,2,1,whimbrel,release-default,serving_ready,905126,67091200,8944,894400,serial
20260818T013740Z-1,2,1,whimbrel,release-default,net_init_done,957087,72287300,51961,5196100,serial
20260818T013740Z-1,2,1,whimbrel,release-default,heap_init,957575,72336100,488,48800,serial
20260818T013740Z-1,2,1,whimbrel,release-default,accounting,978841,74462700,21266,2126600,serial
20260818T013740Z-1,2,1,whimbrel,release-default,freeze,979855,74564100,1014,101400,serial
20260818T013740Z-1,2,1,whimbrel,release-default,sret,982083,74786900,2228,222800,serial
20260818T013740Z-1,2,1,whimbrel,release-default,E3g,1001214,76700000,19131,1913100,serial
20260818T013740Z-1,2,1,whimbrel,release-default,E3g_doorbell,1004947,77073300,3733,373300,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,_start,235831,0,0,0,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,stamp_a,236278,44700,447,44700,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,stamp_b,236333,50200,55,5500,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,stvec,238860,302900,2527,252700,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,frame_init,240315,448400,1455,145500,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,task_init,246161,1033000,5846,584600,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,page_build,250074,1424300,3913,391300,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,page_verify,257318,2148700,7244,724400,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,activate,258189,2235800,871,87100,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,virtq_init,266576,3074500,8387,838700,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,DRIVER_OK,272042,3621100,5466,546600,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,first_rx,275092,3926100,3050,305000,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,syn_rx,277782,4195100,2690,269000,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,established,280428,4459700,2646,264600,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,serving_ready,283980,4814900,3552,355200,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,net_init_done,286761,5093000,2781,278100,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,heap_init,286981,5115000,220,22000,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,accounting,287240,5140900,259,25900,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,freeze,287361,5153000,121,12100,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,sret,287549,5171800,188,18800,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,E3g,299884,6405300,12335,1233500,serial
20260818T013740Z-1,2,1,whimbrel,release-fast-boot,E3g_doorbell,300660,6482900,776,77600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,_start,234458,0,0,0,serial
20260818T013740Z-1,3,1,whimbrel,release-default,stamp_a,234914,45600,456,45600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,stamp_b,234968,51000,54,5400,serial
20260818T013740Z-1,3,1,whimbrel,release-default,stvec,245253,1079500,10285,1028500,serial
20260818T013740Z-1,3,1,whimbrel,release-default,frame_init,550028,31557000,304775,30477500,serial
20260818T013740Z-1,3,1,whimbrel,release-default,task_init,583608,34915000,33580,3358000,serial
20260818T013740Z-1,3,1,whimbrel,release-default,page_build,590701,35624300,7093,709300,serial
20260818T013740Z-1,3,1,whimbrel,release-default,page_verify,709506,47504800,118805,11880500,serial
20260818T013740Z-1,3,1,whimbrel,release-default,activate,712335,47787700,2829,282900,serial
20260818T013740Z-1,3,1,whimbrel,release-default,virtq_init,782898,54844000,70563,7056300,serial
20260818T013740Z-1,3,1,whimbrel,release-default,DRIVER_OK,845976,61151800,63078,6307800,serial
20260818T013740Z-1,3,1,whimbrel,release-default,first_rx,880321,64586300,34345,3434500,serial
20260818T013740Z-1,3,1,whimbrel,release-default,syn_rx,892723,65826500,12402,1240200,serial
20260818T013740Z-1,3,1,whimbrel,release-default,established,902019,66756100,9296,929600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,serving_ready,911062,67660400,9043,904300,serial
20260818T013740Z-1,3,1,whimbrel,release-default,net_init_done,963118,72866000,52056,5205600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,heap_init,963343,72888500,225,22500,serial
20260818T013740Z-1,3,1,whimbrel,release-default,accounting,984739,75028100,21396,2139600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,freeze,985756,75129800,1017,101700,serial
