# generated by scripts/linux-initcall-label.sh — D-0072
# Image-trimmed sha256=fe821d1d5fcc0c8d4474504c48d3024e0991c37ba74d40c675a0158b61e44fa2
# System.map sha256=3860b1aec2b3cd2ee5944b1831aeea8b12ad163525f38b19de24dab655ab8763 path=/home/victor/src/Whimbrel/bench/linux/build/linux-trimmed/System.map
# cmdline=console=ttyS0 loglevel=7 printk.time=1 initcall_debug ignore_loglevel rdinit=/init
# qemu=QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2)
# serial=/home/victor/src/Whimbrel/results/serial/linux-trimmed-ignore-loglevel-20260818T084831Z.log
#
## Hole window (labels for gap 1), sorted by usecs

| rank | usecs | symbol | ret | printk_s |
|---|---:|---|---:|---:|
| 1 | 222615 | `trace_eval_sync` | 0 | 0.671703 |
| 2 | 7521 | `cpu_latency_qos_init` | 0 | 0.430053 |
| 3 | 7107 | `deferred_probe_initcall` | 0 | 0.444852 |
| 4 | 1006 | `init_root_keyring` | 0 | 0.436777 |
| 5 | 267 | `bpf_global_ma_init` | 0 | 0.431778 |
| 6 | 153 | `sched_init_debug` | 0 | 0.422315 |
| 7 | 137 | `init_dns_resolver` | 0 | 0.421509 |
| 8 | 119 | `handshake_init` | 0 | 0.421846 |
| 9 | 89 | `bpf_kfunc_init` | 0 | 0.446406 |
| 10 | 87 | `kfunc_init` | 0 | 0.432352 |
| 11 | 86 | `gpio_keys_init` | 0 | 0.445169 |
| 12 | 71 | `tcp_congestion_default` | 0 | 0.447621 |
| 13 | 63 | `clk_debug_init` | 0 | 0.437070 |
| 14 | 57 | `ip_auto_config` | 0 | 0.448172 |
| 15 | 50 | `printk_late_init` | 0 | 0.430581 |
| 16 | 47 | `bpf_map_iter_init` | 0 | 0.432846 |
| 17 | 46 | `bpf_prog_test_run_init` | 0 | 0.447338 |
| 18 | 43 | `swiotlb_create_default_debugfs` | 0 | 0.430849 |
| 19 | 34 | `crypto_kfunc_init` | 0 | 0.434211 |
| 20 | 34 | `amba_stub_drv_init` | 0 | 0.672282 |
| 21 | 32 | `task_iter_init` | 0 | 0.433090 |
| 22 | 31 | `tcp_bpf_v4_build_proto` | 0 | 0.448420 |
| 23 | 29 | `acpi_gpio_handle_deferred_request_irqs` | 0 | 0.671973 |
| 24 | 25 | `pm_debugfs_init` | 0 | 0.430311 |
| 25 | 25 | `genpd_debug_init` | 0 | 0.437309 |
| 26 | 25 | `inet_blackhole_dev_init` | 0 | 0.447860 |
| 27 | 22 | `unbound_reg_init` | 0 | 0.432020 |
| 28 | 18 | `init_subsystem` | 0 | 0.446099 |
| 29 | 17 | `riscv_pmu_legacy_devinit` | 0 | 0.445867 |
| 30 | 16 | `late_trace_init` | 0 | 0.448875 |
| 31 | 15 | `init_subsystem` | 0 | 0.432582 |
| 32 | 15 | `fault_around_debugfs` | 0 | 0.434888 |
| 33 | 15 | `check_early_ioremap_leak` | 0 | 0.435328 |
| 34 | 15 | `mg_debugfs_init` | 0 | 0.435553 |
| 35 | 14 | `bpf_kmem_cache_iter_init` | 0 | 0.434437 |
| 36 | 13 | `tk_debug_sleep_time_init` | 0 | 0.431076 |
| 37 | 12 | `udp_bpf_v4_build_proto` | 0 | 0.448648 |
| 38 | 11 | `efi_earlycon_unmap_fb` | 0 | 0.445629 |
| 39 | 10 | `bpf_sockmap_iter_init` | 0 | 0.446860 |
| 40 | 9 | `bpf_kprobe_multi_kfuncs_init` | 0 | 0.431298 |
| 41 | 9 | `bpf_prog_iter_init` | 0 | 0.433310 |
| 42 | 9 | `dmabuf_iter_init` | 0 | 0.434660 |
| 43 | 9 | `bpf_sk_storage_map_iter_init` | 0 | 0.447079 |
| 44 | 8 | `bpf_link_iter_init` | 0 | 0.433528 |
| 45 | 8 | `rqspinlock_register_kfuncs` | 0 | 0.433750 |
| 46 | 8 | `sync_state_resume_initcall` | 0 | 0.437530 |
| 47 | 8 | `xdp_metadata_init` | 0 | 0.446633 |
| 48 | 7 | `kfunc_init` | 0 | 0.433967 |
| 49 | 7 | `efi_shutdown_init` | -19 | 0.445395 |
| 50 | 5 | `hugetlb_vmemmap_init` | 0 | 0.435105 |

## All initcalls, sorted by usecs (UART-inflated; not a report number)

| rank | usecs | symbol | ret | printk_s |
|---|---:|---|---:|---:|
| 1 | 222615 | `trace_eval_sync` | 0 | 0.671703 |
| 2 | 163041 | `of_platform_serial_driver_init` | 0 | 0.353459 |
| 3 | 33763 | `pty_init` | 0 | 0.188337 |
| 4 | 24000 | `check_unaligned_access_all_cpus` | 0 | 0.063108 |
| 5 | 16507 | `alsa_timer_init` | 0 | 0.416787 |
| 6 | 13759 | `mousedev_init` | 0 | 0.380446 |
| 7 | 12000 | `oom_init` | 0 | 0.083232 |
| 8 | 9944 | `inet_init` | 0 | 0.126223 |
| 9 | 9286 | `chr_dev_init` | 0 | 0.114947 |
| 10 | 8000 | `devfreq_init` | 0 | 0.091315 |
| 11 | 8000 | `watchdog_init` | 0 | 0.103781 |
| 12 | 7521 | `cpu_latency_qos_init` | 0 | 0.430053 |
| 13 | 7107 | `deferred_probe_initcall` | 0 | 0.444852 |
| 14 | 6701 | `acpi_thermal_init` | -19 | 0.150718 |
| 15 | 5394 | `init_nfs_fs` | -12 | 0.138334 |
| 16 | 4546 | `goldfish_rtc_init` | 0 | 0.386185 |
| 17 | 4367 | `kswapd_init` | 0 | 0.132523 |
| 18 | 4000 | `gpiolib_dev_init` | 0 | 0.030611 |
| 19 | 4000 | `netlink_proto_init` | 0 | 0.034876 |
| 20 | 4000 | `riscv_cpuinfo_init` | 0 | 0.038655 |
| 21 | 4000 | `of_platform_default_populate_init` | 0 | 0.070845 |
| 22 | 4000 | `netdev_genl_init` | 0 | 0.095939 |
| 23 | 2972 | `virtio_net_driver_init` | 0 | 0.363807 |
| 24 | 2033 | `plic_driver_init` | 0 | 0.143058 |
| 25 | 1976 | `serial8250_init` | 0 | 0.190328 |
| 26 | 1885 | `virtio_mmio_init` | 0 | 0.154113 |
| 27 | 1443 | `pmu_sbi_devinit` | 0 | 0.399719 |
| 28 | 1414 | `init_autofs_fs` | 0 | 0.140383 |
| 29 | 1205 | `hwrng_modinit` | 0 | 0.116172 |
| 30 | 1161 | `syscon_reboot_driver_init` | 0 | 0.388620 |
| 31 | 1006 | `init_root_keyring` | 0 | 0.436777 |
| 32 | 968 | `init_sunrpc` | 0 | 0.127386 |
| 33 | 684 | `snd_soc_init` | 0 | 0.418013 |
| 34 | 373 | `init_nfs_v4` | 0 | 0.138759 |
| 35 | 336 | `init_p9` | 0 | 0.420677 |
| 36 | 333 | `syscon_poweroff_driver_init` | 0 | 0.389175 |
| 37 | 284 | `blackhole_netdev_init` | 0 | 0.358519 |
| 38 | 279 | `init_hugetlbfs_fs` | 0 | 0.105557 |
| 39 | 276 | `clk_starfive_jh7100_driver_init` | -19 | 0.151572 |
| 40 | 274 | `init_mtd` | 0 | 0.356705 |
| 41 | 267 | `init_trace_printk_function_export` | 0 | 0.104605 |
| 42 | 267 | `bpf_global_ma_init` | 0 | 0.431778 |
| 43 | 266 | `hid_init` | 0 | 0.397327 |
| 44 | 228 | `init_mqueue_fs` | 0 | 0.140739 |
| 45 | 227 | `sdhci_drv_init` | 0 | 0.390877 |
| 46 | 227 | `clk_disable_unused` | 0 | 0.672727 |
| 47 | 212 | `phy_module_init` | 0 | 0.360619 |
| 48 | 204 | `simple_pm_bus_driver_init` | 0 | 0.143320 |
| 49 | 199 | `fixed_mdio_bus_init` | 0 | 0.359171 |
| 50 | 186 | `cacheinfo_sysfs_init` | -2 | 0.355702 |
| 51 | 183 | `alsa_sound_last_init` | 0 | 0.673934 |
| 52 | 182 | `macb_driver_init` | 0 | 0.364237 |
| 53 | 177 | `netfs_init` | 0 | 0.105250 |
| 54 | 175 | `xhci_plat_init` | 0 | 0.366245 |
| 55 | 167 | `phy_module_init` | 0 | 0.359557 |
| 56 | 166 | `perf_event_sysfs_init` | 0 | 0.128137 |
| 57 | 160 | `sun20i_ppu_driver_init` | 0 | 0.152172 |
| 58 | 158 | `clocksource_done_booting` | 0 | 0.104170 |
| 59 | 157 | `psmouse_init` | 0 | 0.381414 |
| 60 | 153 | `sched_init_debug` | 0 | 0.422315 |
| 61 | 148 | `tracer_init_tracefs` | 0 | 0.104327 |
| 62 | 137 | `populate_rootfs` | 0 | 0.127625 |
| 63 | 137 | `init_dns_resolver` | 0 | 0.421509 |
| 64 | 130 | `sdhci_pltfm_drv_init` | 0 | 0.392666 |
| 65 | 128 | `ehci_platform_init` | 0 | 0.365057 |
| 66 | 128 | `atkbd_init` | 0 | 0.381036 |
| 67 | 128 | `dw_mci_init` | 0 | 0.391452 |
| 68 | 128 | `genpd_power_off_unused` | 0 | 0.673073 |
| 69 | 119 | `handshake_init` | 0 | 0.421846 |
| 70 | 115 | `cubictcp_register` | 0 | 0.420123 |
| 71 | 111 | `phy_module_init` | 0 | 0.359891 |
| 72 | 103 | `reset_simple_driver_init` | 0 | 0.154523 |
| 73 | 102 | `ohci_platform_init` | 0 | 0.365615 |
| 74 | 99 | `sunxi_mmc_driver_init` | 0 | 0.392322 |
| 75 | 98 | `sunxi_sram_driver_init` | -19 | 0.151959 |
| 76 | 97 | `spi_nor_module_init` | 0 | 0.357509 |
| 77 | 92 | `aio_setup` | 0 | 0.132884 |
| 78 | 89 | `ipv6_offload_init` | 0 | 0.126410 |
| 79 | 89 | `bpf_kfunc_init` | 0 | 0.446406 |
| 80 | 88 | `sun6i_rtc_driver_init` | 0 | 0.386752 |
| 81 | 87 | `kfunc_init` | 0 | 0.432352 |
| 82 | 86 | `gpio_keys_init` | 0 | 0.445169 |
| 83 | 85 | `sunxi_sid_driver_init` | 0 | 0.400022 |
| 84 | 83 | `alsa_pcm_init` | 0 | 0.417109 |
| 85 | 79 | `sifive_serial_init` | 0 | 0.353771 |
| 86 | 78 | `failover_init` | 0 | 0.418594 |
| 87 | 77 | `ipv4_offload_init` | 0 | 0.126312 |
| 88 | 76 | `sdhci_dwcmshc_driver_init` | 0 | 0.393220 |
| 89 | 75 | `alarmtimer_init` | 0 | 0.127800 |
| 90 | 71 | `tcp_congestion_default` | 0 | 0.447621 |
| 91 | 69 | `init_nlm` | 0 | 0.138916 |
| 92 | 69 | `dw8250_platform_driver_init` | 0 | 0.190409 |
| 93 | 68 | `inotify_user_setup` | 0 | 0.104909 |
| 94 | 66 | `k1_ccu_driver_init` | 0 | 0.151288 |
| 95 | 66 | `virtio_console_init` | 0 | 0.354053 |
| 96 | 65 | `io_uring_init` | 0 | 0.140815 |
| 97 | 63 | `clk_debug_init` | 0 | 0.437070 |
| 98 | 61 | `audit_classes_init` | 0 | 0.140886 |
| 99 | 60 | `acpi_reserve_resources` | 0 | 0.127479 |
| 100 | 60 | `hid_generic_init` | 0 | 0.394248 |
| 101 | 60 | `sock_diag_init` | 0 | 0.418293 |
| 102 | 59 | `anon_inode_init` | 0 | 0.105032 |
| 103 | 57 | `secretmem_init` | 0 | 0.104773 |
| 104 | 57 | `ip_auto_config` | 0 | 0.448172 |
| 105 | 56 | `workingset_init` | 0 | 0.132635 |
| 106 | 56 | `sunxi_wdt_driver_init` | 0 | 0.389448 |
| 107 | 54 | `init_v9fs` | 0 | 0.140450 |
| 108 | 54 | `cv1800_clk_driver_init` | 0 | 0.151094 |
| 109 | 52 | `phy_module_init` | 0 | 0.360192 |
| 110 | 51 | `audit_watch_init` | 0 | 0.127877 |
| 111 | 51 | `jh7110_reset_driver_init` | 0 | 0.154385 |
| 112 | 51 | `sdhci_cdns_driver_init` | 0 | 0.392931 |
| 113 | 50 | `init_pipe_fs` | 0 | 0.104833 |
| 114 | 50 | `sun50i_iommu_driver_init` | -19 | 0.355063 |
| 115 | 50 | `printk_late_init` | 0 | 0.430581 |
| 116 | 49 | `hid_init` | 0 | 0.393972 |
| 117 | 48 | `dw_driver_init` | 0 | 0.151852 |
| 118 | 47 | `eventpoll_init` | 0 | 0.104965 |
| 119 | 47 | `bpf_map_iter_init` | 0 | 0.432846 |
| 120 | 46 | `dw_mci_pltfm_driver_init` | 0 | 0.391713 |
| 121 | 46 | `bpf_prog_test_run_init` | 0 | 0.447338 |
| 122 | 45 | `jh7110_pll_driver_init` | -19 | 0.151627 |
| 123 | 45 | `sun6i_spi_driver_init` | 0 | 0.358023 |
| 124 | 44 | `firmware_class_init` | 0 | 0.116232 |
| 125 | 44 | `ipc_init` | 0 | 0.140502 |
| 126 | 43 | `of_fixed_factor_clk_driver_init` | 0 | 0.150824 |
| 127 | 43 | `swiotlb_create_default_debugfs` | 0 | 0.430849 |
| 128 | 42 | `aplic_driver_init` | 0 | 0.140936 |
| 129 | 42 | `jh7100_reset_driver_init` | -19 | 0.154325 |
| 130 | 41 | `atmel_trng_driver_init` | 0 | 0.354311 |
| 131 | 40 | `starfive_wdt_driver_init` | 0 | 0.389706 |
| 132 | 39 | `pnp_system_init` | 0 | 0.105624 |
| 133 | 39 | `nfs4filelayout_init` | 0 | 0.138808 |
| 134 | 39 | `jh7110_syscrg_driver_init` | -19 | 0.151676 |
| 135 | 39 | `sifive_spi_driver_init` | 0 | 0.357766 |
| 136 | 39 | `inet_diag_init` | 0 | 0.419542 |
| 137 | 38 | `audit_tree_init` | 0 | 0.127943 |
| 138 | 38 | `gpio_clk_driver_init` | 0 | 0.150950 |
| 139 | 38 | `ehci_hcd_init` | 0 | 0.364719 |
| 140 | 37 | `dnotify_init` | 0 | 0.132783 |
| 141 | 37 | `starfive_intc_driver_init` | 0 | 0.143106 |
| 142 | 37 | `sun6i_msgbox_driver_init` | 0 | 0.397577 |
| 143 | 36 | `dwapb_gpio_driver_init` | 0 | 0.143794 |
| 144 | 36 | `sifive_prci_driver_init` | 0 | 0.151032 |
| 145 | 36 | `sunxi_pck600_driver_init` | 0 | 0.152219 |
| 146 | 36 | `p1_rtc_driver_init` | 0 | 0.386442 |
| 147 | 36 | `netlink_diag_init` | 0 | 0.419069 |
| 148 | 35 | `cv1800b_pinctrl_driver_init` | 0 | 0.143448 |
| 149 | 35 | `sifive_gpio_driver_init` | 0 | 0.143837 |
| 150 | 35 | `th1520_clk_driver_init` | 0 | 0.151796 |
| 151 | 35 | `jh71xx_pmu_driver_init` | 0 | 0.152003 |
| 152 | 35 | `ofpart_parser_init` | 0 | 0.356963 |
| 153 | 35 | `gpio_restart_driver_init` | 0 | 0.387247 |
| 154 | 35 | `mpxy_mbox_driver_init` | 0 | 0.397829 |
| 155 | 34 | `k1_pinctrl_driver_init` | 0 | 0.143601 |
| 156 | 34 | `riscv_iommu_platform_driver_init` | 0 | 0.354800 |
| 157 | 34 | `tcp_diag_init` | 0 | 0.419796 |
| 158 | 34 | `crypto_kfunc_init` | 0 | 0.434211 |
| 159 | 34 | `amba_stub_drv_init` | 0 | 0.672282 |
| 160 | 33 | `phy_core_init` | 0 | 0.143362 |
| 161 | 33 | `th1520_pinctrl_driver_init` | 0 | 0.143404 |
| 162 | 33 | `spacemit_i2c_driver_init` | 0 | 0.386999 |
| 163 | 33 | `mmc_pwrseq_simple_driver_init` | 0 | 0.390189 |
| 164 | 33 | `mmc_pwrseq_emmc_driver_init` | 0 | 0.390434 |
| 165 | 32 | `init_nls_cp437` | 0 | 0.138959 |
| 166 | 32 | `spacemit_sdhci_driver_init` | 0 | 0.393465 |
| 167 | 32 | `task_iter_init` | 0 | 0.433090 |
| 168 | 31 | `extfrag_debug_init` | 0 | 0.132570 |
| 169 | 31 | `imsic_platform_driver_init` | 0 | 0.140978 |
| 170 | 31 | `of_fixed_clk_driver_init` | 0 | 0.150864 |
| 171 | 31 | `sun20i_regulator_driver_init` | 0 | 0.154275 |
| 172 | 31 | `dw_mci_starfive_driver_init` | 0 | 0.391959 |
| 173 | 31 | `p9_virtio_init` | 0 | 0.421161 |
| 174 | 31 | `tcp_bpf_v4_build_proto` | 0 | 0.448420 |
| 175 | 30 | `sg2042_clkgen_driver_init` | 0 | 0.151133 |
| 176 | 30 | `sg2042_pll_driver_init` | 0 | 0.151171 |
| 177 | 30 | `sun20i_d1_r_ccu_driver_init` | 0 | 0.151752 |
| 178 | 29 | `init_uprobe_trace` | 0 | 0.104688 |
| 179 | 29 | `eth_offload_init` | 0 | 0.116270 |
| 180 | 29 | `fcntl_init` | 0 | 0.132707 |
